2. Zeile und 21.Spalte, Wert:32021.526178860804
2. Zeile und 22.Spalte, Wert:31744.321968126897
2. Zeile und 23.Spalte, Wert:32254.607493913856
2. Zeile und 24.Spalte, Wert:32261.9338747252
2. Zeile und 25.Spalte, Wert:32186.74042288206
2. Zeile und 26.Spalte, Wert:32249.40225884984
2. Zeile und 27.Spalte, Wert:31898.35987611083
2. Zeile und 28.Spalte, Wert:32019.145152732166
2. Zeile und 29.Spalte, Wert:32147.4642615852
2. Zeile und 30.Spalte, Wert:31971.615889200933
2. Zeile und 31.Spalte, Wert:31741.903017149234
2. Zeile und 32.Spalte, Wert:32063.685867176428
2. Zeile und 33.Spalte, Wert:32011.393309103154
2. Zeile und 34.Spalte, Wert:31803.42638546542
2. Zeile und 35.Spalte, Wert:31953.26329163604
2. Zeile und 36.Spalte, Wert:31719.943245482722
2. Zeile und 37.Spalte, Wert:31672.43010345344
2. Zeile und 38.Spalte, Wert:32256.001243284856
2. Zeile und 39.Spalte, Wert:32209.887134661905
2. Zeile und 40.Spalte, Wert:32131.14193936492
2. Zeile und 41.Spalte, Wert:31676.146986355237
2. Zeile und 42.Spalte, Wert:31676.91208533435
2. Zeile und 43.Spalte, Wert:32199.957004417443
2. Zeile und 44.Spalte, Wert:32251.929875326463
2. Zeile und 45.Spalte, Wert:31737.18120121443
2. Zeile und 46.Spalte, Wert:31919.988105197972
2. Zeile und 47.Spalte, Wert:32014.62978956122
2. Zeile und 48.Spalte, Wert:31906.476337916054
2. Zeile und 49.Spalte, Wert:31939.95457034573
2. Zeile und 50.Spalte, Wert:31904.691187983168
2. Zeile und 51.Spalte, Wert:31825.233870272416
2. Zeile und 52.Spalte, Wert:31723.534210915008
2. Zeile und 53.Spalte, Wert:31941.066073080576
2. Zeile und 54.Spalte, Wert:31971.986388197125
2. Zeile und 55.Spalte, Wert:32007.940651450965
2. Zeile und 56.Spalte, Wert:31807.410189893762
2. Zeile und 57.Spalte, Wert:31752.402499678872
2. Zeile und 58.Spalte, Wert:32029.862669886104
2. Zeile und 59.Spalte, Wert:31758.28020346354
2. Zeile und 60.Spalte, Wert:32055.625424895898
2. Zeile und 61.Spalte, Wert:32072.42809222987
2. Zeile und 62.Spalte, Wert:31944.873466382433
2. Zeile und 63.Spalte, Wert:31661.497557571176
2. Zeile und 64.Spalte, Wert:31738.684289512395
2. Zeile und 65.Spalte, Wert:32191.69907676027
2. Zeile und 66.Spalte, Wert:32132.720681891136
2. Zeile und 67.Spalte, Wert:31614.958175299264
2. Zeile und 68.Spalte, Wert:32009.93998770063
2. Zeile und 69.Spalte, Wert:32040.517987340558
2. Zeile und 70.Spalte, Wert:32155.377139560413
2. Zeile und 71.Spalte, Wert:32225.191576187186
