2021-11-26 18:38:17,843 AWT-EventQueue-0 WARN  server.ContinuousCompetitionSubjectMatcher - loop index of subjectGroups 0
2021-11-26 18:38:52,214 PeriodThread INFO  server.ContinuousCompetitionInstitution - After calculation of market data: profits - profitFirmA: 0.0, profitFirmB: 27.216, profitFirmC: 28.728000000000005, profitFirmD: 0.0
2021-11-26 18:38:52,214 PeriodThread INFO  server.ContinuousCompetitionInstitution - After calculation of market data: payoffs - balanceFirmA: 0.006847875000000005, balanceFirmB: 0.010927687500000002, balanceFirmC: 0.030825000000000005, balanceFirmD: 0.0
2021-11-26 18:38:52,217 PeriodThread INFO  server.ContinuousCompetitionInstitution - Created marketUpdate is set to global time: 1500 and to countId: 3.
2021-11-26 18:38:52,227 PeriodThread INFO  server.ContinuousCompetitionInstitution - processMessage() - end of execution - processed actionUpdate with countId 3
2021-11-26 18:38:52,698 PeriodThread INFO  server.ContinuousCompetitionInstitution - Receiving actionUpdate with countId 4 from client agent1: Set aFirmC = 12.0
2021-11-26 18:38:52,701 PeriodThread INFO  server.ContinuousCompetitionInstitution - Received actionUpdate is number 1 of 3 with countId 4 of cohort 758.
2021-11-26 18:38:52,702 PeriodThread INFO  server.ContinuousCompetitionInstitution - Receiving actionUpdate with countId 4 from client agent3: Set aFirmA = 19.0
2021-11-26 18:38:52,704 PeriodThread INFO  server.ContinuousCompetitionInstitution - Received actionUpdate is number 2 of 3 with countId 4 of cohort 758.
2021-11-26 18:38:52,711 PeriodThread INFO  server.ContinuousCompetitionInstitution - Receiving actionUpdate with countId 4 from client agent2: Set aFirmB = 30.0
2021-11-26 18:38:52,715 PeriodThread INFO  server.ContinuousCompetitionInstitution - Received actionUpdate is number 3 of 3 with countId 4 of cohort 758.
2021-11-26 18:38:52,715 PeriodThread INFO  server.ContinuousCompetitionInstitution - After calculation of market data: actions - aFirmA: 19.0, aFirmB: 30.0, aFirmC: 12.0, aFirmD: 0.0, aMarket: 20.333333333333332.
2021-11-26 18:38:52,715 PeriodThread INFO  server.ContinuousCompetitionInstitution - After calculation of market data: outputs - oFirmA: 38.142857142857146, oFirmB: 5.142857142857153, oFirmC: 59.142857142857146, oFirmD: 0.0.
2021-11-26 18:38:52,715 PeriodThread INFO  server.ContinuousCompetitionInstitution - After calculation of market data: profits - profitFirmA: 28.535625000000003, profitFirmB: 6.075000000000012, profitFirmC: 27.945000000000004, profitFirmD: 0.0
2021-11-26 18:38:52,715 PeriodThread INFO  server.ContinuousCompetitionInstitution - After calculation of market data: payoffs - balanceFirmA: 0.011603812500000005, balanceFirmB: 0.011940187500000003, balanceFirmC: 0.03548250000000001, balanceFirmD: 0.0
2021-11-26 18:38:52,717 PeriodThread INFO  server.ContinuousCompetitionInstitution - Created marketUpdate is set to global time: 2000 and to countId: 4.
2021-11-26 18:38:52,731 PeriodThread INFO  server.ContinuousCompetitionInstitution - processMessage() - end of execution - processed actionUpdate with countId 4
2021-11-26 18:38:53,198 PeriodThread INFO  server.ContinuousCompetitionInstitution - Receiving actionUpdate with countId 5 from client agent1: Set aFirmC = 16.0
2021-11-26 18:38:53,203 PeriodThread INFO  server.ContinuousCompetitionInstitution - Received actionUpdate is number 1 of 3 with countId 5 of cohort 758.
2021-11-26 18:38:53,203 PeriodThread INFO  server.ContinuousCompetitionInstitution - Receiving actionUpdate with countId 5 from client agent3: Set aFirmA = 9.0
2021-11-26 18:38:53,206 PeriodThread INFO  server.ContinuousCompetitionInstitution - Received actionUpdate is number 2 of 3 with countId 5 of cohort 758.
2021-11-26 18:38:53,213 PeriodThread INFO  server.ContinuousCompetitionInstitution - Receiving actionUpdate with countId 5 from client agent2: Set aFirmB = 14.0
2021-11-26 18:38:53,216 PeriodThread INFO  server.ContinuousCompetitionInstitution - Received actionUpdate is number 3 of 3 with countId 5 of cohort 758.
2021-11-26 18:38:53,217 PeriodThread INFO  server.ContinuousCompetitionInstitution - After calculation of market data: actions - aFirmA: 9.0, aFirmB: 14.0, aFirmC: 16.0, aFirmD: 0.0, aMarket: 13.0.
2021-11-26 18:38:53,217 PeriodThread INFO  server.ContinuousCompetitionInstitution - After calculation of market data: outputs - oFirmA: 49.28571428571429, oFirmB: 34.28571428571429, oFirmC: 28.28571428571429, oFirmD: 0.0.
2021-11-26 18:38:53,217 PeriodThread INFO  server.ContinuousCompetitionInstitution - After calculation of market data: profits - profitFirmA: 17.465625000000003, profitFirmB: 18.900000000000006, profitFirmC: 17.82, profitFirmD: 0.0
2021-11-26 18:38:53,217 PeriodThread INFO  server.ContinuousCompetitionInstitution - After calculation of market data: payoffs - balanceFirmA: 0.014514750000000005, balanceFirmB: 0.015090187500000005, balanceFirmC: 0.03845250000000001, balanceFirmD: 0.0
2021-11-26 18:38:53,220 PeriodThread INFO  server.ContinuousCompetitionInstitution - Created marketUpdate is set to global time: 2500 and to countId: 5.
2021-11-26 18:38:53,227 PeriodThread INFO  server.ContinuousCompetitionInstitution - processMessage() - end of execution - processed actionUpdate with countId 5
2021-11-26 18:38:53,700 PeriodThread INFO  server.ContinuousCompetitionInstitution - Receiving actionUpdate with countId 6 from client agent1: Set aFirmC = 19.0
2021-11-26 18:38:53,703 PeriodThread INFO  server.ContinuousCompetitionInstitution - Received actionUpdate is number 1 of 3 with countId 6 of cohort 758.
2021-11-26 18:38:53,703 PeriodThread INFO  server.ContinuousCompetitionInstitution - Receiving actionUpdate with countId 6 from client agent3: Set aFirmA = 25.0
2021-11-26 18:38:53,705 PeriodThread INFO  server.ContinuousCompetitionInstitution - Received actionUpdate is number 2 of 3 with countId 6 of cohort 758.
2021-11-26 18:38:53,714 PeriodThread INFO  server.ContinuousCompetitionInstitution - Receiving actionUpdate with countId 6 from client agent2: Set aFirmB = 16.0
2021-11-26 18:38:53,717 PeriodThread INFO  server.ContinuousCompetitionInstitution - Received actionUpdate is number 3 of 3 with countId 6 of cohort 758.
2021-11-26 18:38:53,717 PeriodThread INFO  server.ContinuousCompetitionInstitution - After calculation of market data: actions - aFirmA: 25.0, aFirmB: 16.0, aFirmC: 19.0, aFirmD: 0.0, aMarket: 20.0.
2021-11-26 18:38:53,718 PeriodThread INFO  server.ContinuousCompetitionInstitution - After calculation of market data: outputs - oFirmA: 19.285714285714292, oFirmB: 46.28571428571429, oFirmC: 37.285714285714285, oFirmD: 0.0.
2021-11-26 18:38:53,718 PeriodThread INFO  server.ContinuousCompetitionInstitution - After calculation of market data: profits - profitFirmA: 18.984375000000007, profitFirmB: 29.160000000000004, profitFirmC: 27.894375, profitFirmD: 0.0
2021-11-26 18:38:53,718 PeriodThread INFO  server.ContinuousCompetitionInstitution - After calculation of market data: payoffs - balanceFirmA: 0.017678812500000005, balanceFirmB: 0.019950187500000004, balanceFirmC: 0.04310156250000001, balanceFirmD: 0.0
2021-11-26 18:38:53,720 PeriodThread INFO  server.ContinuousCompetitionInstitution - Created marketUpdate is set to global time: 3000 and to countId: 6.
2021-11-26 18:38:53,727 PeriodThread INFO  server.ContinuousCompetitionInstitution - processMessage() - end of execution - processed actionUpdate with countId 6
2021-11-26 18:38:54,202 PeriodThread INFO  server.ContinuousCompetitionInstitution - Receiving actionUpdate with countId 7 from client agent3: Set aFirmA = 19.0
2021-11-26 18:38:54,205 PeriodThread INFO  server.ContinuousCompetitionInstitution - Received actionUpdate is number 1 of 3 with countId 7 of cohort 758.
2021-11-26 18:38:54,205 PeriodThread INFO  server.ContinuousCompetitionInstitution - Receiving actionUpdate with countId 7 from client agent1: Set aFirmC = 18.0
2021-11-26 18:38:54,208 PeriodThread INFO  server.ContinuousCompetitionInstitution - Received actionUpdate is number 2 of 3 with countId 7 of cohort 758.
2021-11-26 18:38:54,216 PeriodThread INFO  server.ContinuousCompetitionInstitution - Receiving actionUpdate with countId 7 from client agent2: Set aFirmB = 21.0
2021-11-26 18:38:54,219 PeriodThread INFO  server.ContinuousCompetitionInstitution - Received actionUpdate is number 3 of 3 with countId 7 of cohort 758.
2021-11-26 18:38:54,220 PeriodThread INFO  server.ContinuousCompetitionInstitution - After calculation of market data: actions - aFirmA: 19.0, aFirmB: 21.0, aFirmC: 18.0, aFirmD: 0.0, aMarket: 19.333333333333332.
2021-11-26 18:38:54,220 PeriodThread INFO  server.ContinuousCompetitionInstitution - After calculation of market data: outputs - oFirmA: 35.57142857142857, oFirmB: 29.571428571428573, oFirmC: 38.57142857142858, oFirmD: 0.0.
2021-11-26 18:38:54,220 PeriodThread INFO  server.ContinuousCompetitionInstitution - After calculation of market data: profits - profitFirmA: 26.611874999999998, profitFirmB: 24.451875, profitFirmC: 27.337500000000002, profitFirmD: 0.0
2021-11-26 18:38:54,220 PeriodThread INFO  server.ContinuousCompetitionInstitution - After calculation of market data: payoffs - balanceFirmA: 0.022114125000000005, balanceFirmB: 0.024025500000000005, balanceFirmC: 0.04765781250000001, balanceFirmD: 0.0
2021-11-26 18:38:54,223 PeriodThread INFO  server.ContinuousCompetitionInstitution - Created marketUpdate is set to global time: 3500 and to countId: 7.
2021-11-26 18:38:54,228 PeriodThread INFO  server.ContinuousCompetitionInstitution - processMessage() - end of execution - processed actionUpdate with countId 7
2021-11-26 18:38:54,702 PeriodThread INFO  server.ContinuousCompetitionInstitution - Receiving actionUpdate with countId 8 from client agent3: Set aFirmA = 11.0
2021-11-26 18:38:54,705 PeriodThread INFO  server.ContinuousCompetitionInstitution - Received actionUpdate is number 1 of 3 with countId 8 of cohort 758.
2021-11-26 18:38:54,705 PeriodThread INFO  server.ContinuousCompetitionInstitution - Receiving actionUpdate with countId 8 from client agent1: Set aFirmC = 14.0
2021-11-26 18:38:54,707 PeriodThread INFO  server.ContinuousCompetitionInstitution - Received actionUpdate is number 2 of 3 with countId 8 of cohort 758.
2021-11-26 18:38:54,718 PeriodThread INFO  server.ContinuousCompetitionInstitution - Receiving actionUpdate with countId 8 from client agent2: Set aFirmB = 14.0
2021-11-26 18:38:54,721 PeriodThread INFO  server.ContinuousCompetitionInstitution - Received actionUpdate is number 3 of 3 with countId 8 of cohort 758.
2021-11-26 18:38:54,721 PeriodThread INFO  server.ContinuousCompetitionInstitution - After calculation of market data: actions - aFirmA: 11.0, aFirmB: 14.0, aFirmC: 14.0, aFirmD: 0.0, aMarket: 13.0.
2021-11-26 18:38:54,721 PeriodThread INFO  server.ContinuousCompetitionInstitution - After calculation of market data: outputs - oFirmA: 43.28571428571429, oFirmB: 34.28571428571429, oFirmC: 34.28571428571429, oFirmD: 0.0.
2021-11-26 18:38:54,721 PeriodThread INFO  server.ContinuousCompetitionInstitution - After calculation of market data: profits - profitFirmA: 18.748125, profitFirmB: 18.900000000000006, profitFirmC: 18.900000000000006, profitFirmD: 0.0
2021-11-26 18:38:54,722 PeriodThread INFO  server.ContinuousCompetitionInstitution - After calculation of market data: payoffs - balanceFirmA: 0.025238812500000006, balanceFirmB: 0.027175500000000005, balanceFirmC: 0.05080781250000001, balanceFirmD: 0.0
2021-11-26 18:38:54,724 PeriodThread INFO  server.ContinuousCompetitionInstitution - Created marketUpdate is set to global time: 4000 and to countId: 8.
2021-11-26 18:38:54,728 PeriodThread INFO  server.ContinuousCompetitionInstitution - processMessage() - end of execution - processed actionUpdate with countId 8
2021-11-26 18:38:55,204 PeriodThread INFO  server.ContinuousCompetitionInstitution - Receiving actionUpdate with countId 9 from client agent1: Set aFirmC = 12.0
2021-11-26 18:38:55,207 PeriodThread INFO  server.ContinuousCompetitionInstitution - Received actionUpdate is number 1 of 3 with countId 9 of cohort 758.
2021-11-26 18:38:55,207 PeriodThread INFO  server.ContinuousCompetitionInstitution - Receiving actionUpdate with countId 9 from client agent3: Set aFirmA = 19.0
2021-11-26 18:38:55,209 PeriodThread INFO  server.ContinuousCompetitionInstitution - Received actionUpdate is number 2 of 3 with countId 9 of cohort 758.
2021-11-26 18:38:55,222 PeriodThread INFO  server.ContinuousCompetitionInstitution - Receiving actionUpdate with countId 9 from client agent2: Set aFirmB = 16.0
2021-11-26 18:38:55,224 PeriodThread INFO  server.ContinuousCompetitionInstitution - Received actionUpdate is number 3 of 3 with countId 9 of cohort 758.
2021-11-26 18:38:55,225 PeriodThread INFO  server.ContinuousCompetitionInstitution - After calculation of market data: actions - aFirmA: 19.0, aFirmB: 16.0, aFirmC: 12.0, aFirmD: 0.0, aMarket: 15.666666666666666.
2021-11-26 18:38:55,225 PeriodThread INFO  server.ContinuousCompetitionInstitution - After calculation of market data: outputs - oFirmA: 26.142857142857146, oFirmB: 35.142857142857146, oFirmC: 47.142857142857146, oFirmD: 0.0.
2021-11-26 18:38:55,225 PeriodThread INFO  server.ContinuousCompetitionInstitution - After calculation of market data: profits - profitFirmA: 19.558125000000004, profitFirmB: 22.14, profitFirmC: 22.275000000000002, profitFirmD: 0.0
2021-11-26 18:38:55,225 PeriodThread INFO  server.ContinuousCompetitionInstitution - After calculation of market data: payoffs - balanceFirmA: 0.028498500000000006, balanceFirmB: 0.030865500000000004, balanceFirmC: 0.05452031250000001, balanceFirmD: 0.0
2021-11-26 18:38:55,227 PeriodThread INFO  server.ContinuousCompetitionInstitution - Created marketUpdate is set to global time: 4500 and to countId: 9.
2021-11-26 18:38:55,231 PeriodThread INFO  server.ContinuousCompetitionInstitution - processMessage() - end of execution - processed actionUpdate with countId 9
2021-11-26 18:38:55,706 PeriodThread INFO  server.ContinuousCompetitionInstitution - Receiving actionUpdate with countId 10 from client agent3: Set aFirmA = 19.0
2021-11-26 18:38:55,709 PeriodThread INFO  server.ContinuousCompetitionInstitution - Received actionUpdate is number 1 of 3 with countId 10 of cohort 758.
2021-11-26 18:38:55,709 PeriodThread INFO  server.ContinuousCompetitionInstitution - Receiving actionUpdate with countId 10 from client agent1: Set aFirmC = 12.0
2021-11-26 18:38:55,712 PeriodThread INFO  server.ContinuousCompetitionInstitution - Received actionUpdate is number 2 of 3 with countId 10 of cohort 758.
2021-11-26 18:38:55,725 PeriodThread INFO  server.ContinuousCompetitionInstitution - Receiving actionUpdate with countId 10 from client agent2: Set aFirmB = 14.0
2021-11-26 18:38:55,728 PeriodThread INFO  server.ContinuousCompetitionInstitution - Received actionUpdate is number 3 of 3 with countId 10 of cohort 758.
2021-11-26 18:38:55,728 PeriodThread INFO  server.ContinuousCompetitionInstitution - After calculation of market data: actions - aFirmA: 19.0, aFirmB: 14.0, aFirmC: 12.0, aFirmD: 0.0, aMarket: 15.0.
2021-11-26 18:38:55,728 PeriodThread INFO  server.ContinuousCompetitionInstitution - After calculation of market data: outputs - oFirmA: 24.42857142857143, oFirmB: 39.42857142857143, oFirmC: 45.42857142857143, oFirmD: 0.0.
2021-11-26 18:38:55,728 PeriodThread INFO  server.ContinuousCompetitionInstitution - After calculation of market data: profits - profitFirmA: 18.275625, profitFirmB: 21.735, profitFirmC: 21.465, profitFirmD: 0.0
2021-11-26 18:38:55,728 PeriodThread INFO  server.ContinuousCompetitionInstitution - After calculation of market data: payoffs - balanceFirmA: 0.03154443750000001, balanceFirmB: 0.034488000000000005, balanceFirmC: 0.058097812500000005, balanceFirmD: 0.0
2021-11-26 18:38:55,729 PeriodThread INFO  server.ContinuousCompetitionInstitution - Created marketUpdate is set to global time: 5000 and to countId: 10.
2021-11-26 18:38:55,733 PeriodThread INFO  server.ContinuousCompetitionInstitution - processMessage() - end of execution - processed actionUpdate with countId 10
2021-11-26 18:38:56,211 PeriodThread INFO  server.ContinuousCompetitionInstitution - Receiving actionUpdate with countId 11 from client agent1: Set aFirmC = 14.0
2021-11-26 18:38:56,214 PeriodThread INFO  server.ContinuousCompetitionInstitution - Received actionUpdate is number 1 of 3 with countId 11 of cohort 758.
2021-11-26 18:38:56,215 PeriodThread INFO  server.ContinuousCompetitionInstitution - Receiving actionUpdate with countId 11 from client agent3: Set aFirmA = 29.0
